id,Class,Community,Subclass,text
UgzemCMbg-ri1ri7sCt4AaABAg,counterspeech,jews,"Pointing out hypocrisy or contradictions, Hostile language",What kind of God is it that Hates people & Curses them? What kind of people believe in such a God? Is this one of the roots of IslamicFundamentalism? What will happen when Muslims have xterminated all the Jews? Will they find others that their God Hates & Persecute them also? What a strange religion! It seems to be a religion of Hatred. Muslims seem to hate all those not of their faith.With such religious beliefs there can never be peace among mankind.
Ugzr50sQdH0Ictuex214AaABAg,counterspeech,jews,Hostile language,"That Israel fail that is nothing new. That Israel is a rebelious nation that is nothing new. In all that, this is not about Jews doing the job, because the Jews are just humans, it is God that is the Saviour and He alone saves all of us. The number of sins of Israel will not make any less the love that God has for His people Israel. Let the one that came to Muhammad reveal himself whom it really is. It is written ""Satan himself masquerades as an angel of light"". Satan your time is nearly over."
UgjMUWi8Ca7VfngCoAEC,noncounter,lgbt,Default,Respect Kirk Cameron!!!!
UggLsR0081HZaXgCoAEC,counterspeech,lgbt,9,"This god damned ignorant little prick doesn't know that anything that occurs in nature is NATURAL.  Jesusfuckingchrist, what a goofy little prick."
UgyxtAb-tTWRGaDR8mx4AaABAg,noncounter,jews,Default,"@miladmeah I'm a muslim dude, and I don't think you're stupid (or a lot of people, lol). You're just infuriated because you find it hard to understand muslims.
Saying that Jesus (aka Yeesa a' Salam) is the Son of God (thobasthafar) is just a misconception that the Christians made. True, Jesus did not have a father, but at the same time God is not the direct, biological, physical parent.
I have read the bible. You're missing a prophet :) If you read taura, bible and quran they all come together."
UgwOyox1ZnBR23auiDx4AaABAg,counterspeech,black,Pointing out hypocrisy or contradictions,"our shit may be cooler but... police brutality, people assuming your  criminal, stereotypes,"
UgzNu7WvoFrqterLsHB4AaABAg,counterspeech,jews,Denouncing hateful or dangerous speech,you talk a lot of shit you disgrace
Ugy29eagnCGD93aKlMJ4AaABAg,noncounter,jews,Default,"Pagan Arabs did build Kaaba, & they also built more than one.Mecca was not the only one.
Pagan Arabs did build Mecca.
Pagan Arabs were guardians of the Meccan Kaaba.Members of Muhammads own tribe & family were Pagans & guardians of the Kaaba.
The rituals performed by Muslims today at Mecca are much the same as practiced by Pagans bfore the time of Muhammad.
It seems that it was Muhammad who copied from Pagans,bcos he adopted their Kaaba Black Stone & ritual practices.Pagans never prayed to Idols"
UghUgICN2ObNZ3gCoAEC,counterspeech,lgbt,Positive tone,Must be fun being a preacher. Like a certified professional trash talker.
UgjMBwwiYUvViHgCoAEC,noncounter,lgbt,Default,"Manning for President ""telling it like it is"" not christie"
UgxabBj9OImMk93efk54AaABAg,counterspeech,black,9,"Funny to read the redneck hillbillies comments. We shouldn’t even use the word racist to describe these ignorant uneducated incest loving country living white redneck pieces of shits. They think it was ok for the coward ass police to do what they did because that’s what they see on the hill side where they live. Negroes are waking up to who they are as a people based on a scripture in Deutoronomy 28 I believe. 

You white redneck assholes are going to wish you all weren’t born when you all realize who these people are and the way you ALL have treated them. God’s chosen people per Deutoronomy 28:68. Not the devil worshipping fake Jews who own everything."
Ughr6vCp2lTeAngCoAEC,counterspeech,lgbt,Presenting facts,"God desires the salvation of all men - it is the devil who desires their damnation. Why is Anderson making the will of the devil, and not the will of God, his will ? A Christian who says ""I hate X"" is implying that his hatred is accord with God's Will - but how does Anderson know that the hatred in his heart, is in God's Heart ? 

Where does God reveal that He hates Bruce Jenner ? Not in the Bible - and Baptists acknowledge no other source of revelation by God, except the Bible. So Anderson is going beyond Scripture, in hating someone whom God has not revealed that He hates; so by his own standards, Anderson is wrong to hate Bruce Jenner."
UgiFjMd5C27tsngCoAEC,noncounter,jews,Default,Hitler was put into power by the Jesuits. The Jesuits put the Bolshevik in power to overthrow the Czar and create a reaction of Fascism. Hegelian Dialectic
UgxsC2V_LXAPUVBgL0x4AaABAg,noncounter,black,Default,"Looks like the person had no respect for the law,  they just had to argue with security ,   The man refused to comply,  he was not ration,  were do you want me to move ... .  .  .?  Ok. Then move.......   This guy was all wrong.  He is not being respective full"
UgxO9MkLUIUKOWaC4Hh4AaABAg,counterspeech,lgbt,9,"There is nothing wrong with people being who they are.  Gender is only one facet of a human being.  The point was that this idiot is condoning violence upon children.  Children are not born to be this or that....  parents, educators, society and jack-holes like you and the asshat in the video are what either diminishes or lifts a child's self worth."
UgiOX7l896QZ4ngCoAEC,counterspeech,black,9,Those Police are Racists
UghJLYpb-GfDW3gCoAEC,counterspeech,jews,Denouncing hateful or dangerous speech,this is horrible!!!! racist!!!!!!!!!
Ugh4B7IrYMC9CngCoAEC,noncounter,jews,Default,"I have nothing against Jews personally, but anyone that criticizes Israeli actions these days is considered anti-semitic. Israel is just as out of control as the extremist muslims."
UgyOVT0nT32O108RSIJ4AaABAg,counterspeech,lgbt,Positive tone,"l would not like to see Pastor Sean Harris porn collection, l bet it highly illegal!"
Ugi3aNoexU4773gCoAEC,noncounter,lgbt,Default,a lot of people in power are evil
UgzvoY2pDFulKCxtEo94AaABAg,noncounter,jews,Default,"haha, you got to love this world.  look at this redneck talking about White America and White Europe, it doesnt exist buddy.  Wake up and smell the black man who is porking your sister. your nephews will be molatto.  you like that?"
Ugyqx32yEodbZKM8_Zh4AaABAg,noncounter,jews,Default,"The Quran came down to Muhammad (PBUH) who was illetrate. As the cycle of life goes, so do things. Where was America 200 years ago? What were they doing? Raising cows & wearing hats. Where is it now, very foreward. Where was Rome, Persia, England & other countries before, conquering the world, where are they now, not as high as before. The Muslims ruled over 1400 years, & then they had a fall, just like everyone else. The US is still young, in the coming years it will fall & so on it goes."
UgyrLyenRYohay6RoHR4AaABAg,noncounter,jews,Default,"hello, pls dont talk if u dont know any thing about LTT, Indian Prime minister Rajiv Gandhi was Killed by LTT .. they have threatened people of indian and Srilanka.. 
Next thing is Slaves.. Muhammud ali whos a Boxer from USA after converted to Islam .. He said Im a Muslim and Im not slave any more.. v muslims have never ever Treated any Muslims or any other non muslims has slaves .. if u dont know any thing about Islam and prophet  better stop talking about it.i hate talking to a Stupid like u"
UghHcyDAjr9mQHgCoAEC,counterspeech,black,9,fucken white pigs
Ugwwa3axExFh4YwYMMl4AaABAg,counterspeech,jews,Denouncing hateful or dangerous speech,a false propaganda which originated by hitler now the fae muslim ummas promoting such a false propaganda.....
Ugg2DUteYQkNUngCoAEC,noncounter,jews,Default,I would take an spas-12 and blow some brains
UghsRqti_nLhhXgCoAEC,counterspeech,jews,Affiliation,"i am a Jew, and i honestly hate the word ""anti-Semitic"" it was coined by racist Europeans as a Euphemism for ""anti-Jewish"" or ""racist"" 
so lets just call it what it is."
UgjkdYQLpzsTpXgCoAEC,noncounter,lgbt,Default,If my son were into bestiality-homosexuality id beat him up too.
UgyJMmRzzCcKuGSY3fN4AaABAg,noncounter,black,Default,Your very incentive
Ugi1TIOvdctj9HgCoAEC,counterspeech,lgbt,Affiliation,"I just wanna say if you believe that everyone is untitled to choose the life style they want, and have they're own opinions then why to people ridicule those who don't agree with homosexual marriage? I am a Christian, I believe God sent his only son to earth to bare a punishment no mere man could handle, and die for our sake. That's my belief, I will not say a homosexual is going to hell, why, because that's not my place. Homosexual is the person, homosexuality is the sin. And anyone who continues to sin, whether lying, killing, stealing, homosexuals, adultery, and doesn't confess his sins and doesn't try to make right his wrongs then he/she is leading to a path of destruction ""for the wages of sin is death"" (Romans 6:23)"
UgzzGmL7o4wPhCGCMxZ4AaABAg,noncounter,jews,Default,"yes man ... but This Doesn't Mean That We Can Do As Much As Bad Things We Want ... many times when I done bad things, because of the anger or other strong influences on the moment ... I payed for that

and at least being good maybe will be payed, and why not spiritual world should exist ? maybe there are not any gods or satans, but I think that Not Accepting Sooo Hard, At Least, The Possibility That Human Mind Created Spiritual World, it is Strange, it looks like Rejecting God or Spiritual World"
UgxBzOVWEXNTNxGEVmp4AaABAg,noncounter,black,Default,I don’t like her but this is sorta true
UgylT5GU4guNTqgY7UZ4AaABAg,noncounter,jews,Default,@MrSword419 u will REAAAALLY regret saying that
UgzeRRoASu1WkcEeQn94AaABAg,noncounter,jews,Default,fuck jews
UgyfsuY_eoe7JkfDvCd4AaABAg,noncounter,jews,Default,1 question does islam believe in world domination
Ugxw0M4cNy4tTNkYDNt4AaABAg,noncounter,lgbt,Default,Wow great answer Kirk!
Ugwen8KoecZvGKOdmuB4AaABAg,noncounter,jews,Default,They hate us because History repeats itself. If the current technology was available back in WW1 and 2 and the Jewish people where on the internet like us Muslims are today. They would be hated by the Nazi like how people hate Muslims today. And the West probably thought that all Germans are Nazi and started hating them. I ask myself. What do the west think of the Germans today? Why don't they hate the all Germans today? Is it because they were wrong? People even buy German made cars these days.
UgwqdW1noyxrTr4Sp4B4AaABAg,noncounter,black,Default,"When the left started pushing identity politics, they did not think through the dialectic they were starting. The logical ends to this will either be white people stay disorganized and disunited as we are, and be destroyed. Or we organize and defend ourselves. Which also means defending ourselves from some of our own anti-white people(cucks) as the one we have in this video. Mother Nature is pretty much demanding that the events somewhat turn out between these two events. Thus white people going tribal, and back to their roots was already guaranteed from the onset. Every one is against us. We must not give up."
UgxC6--LzXFrs4uRomR4AaABAg,noncounter,black,Default,Black women have a bad smell
UgyHddDicxNkzrKlPKJ4AaABAg,counterspeech,lgbt,Pointing out hypocrisy or contradictions,"I would tell you before worrying about condemning others to ask yourself if you are an adulterer. The Bible tells us in Matthew 5:27-28 that having any sexual thoughts about any woman you are not married too is adultery, since the Bible is never wrong I assume this even includes any woman you intended to marry.  And all good Christians know Leviticus 20:10 and Deuteronomy 22:22 calls for adulterers to be put to death. So what is the name of someone that wants others to follow their beliefs while they don;t even follow them themselves.....hypocrite was it? Vile religious double standard prick."
UgjpVtjkCmFljHgCoAEC,noncounter,lgbt,Default,WHO EVER OWNS THIS ACCOUNT IS THE SON OF SATAN. The Pastor is RIGHT. The Karadasian is just doing those filthy things because of money. obviously if you become the cover of magazine most especially VANITY FAIR im sure that this publisher would give him/her/it millions of dollar....
UgxdW9DMW7aSDHyP2jV4AaABAg,counterspeech,black,9,"I hope all cops go to hell, and get raped by the devils."
UggR1bvv10xaoXgCoAEC,counterspeech,jews,Hostile language,"It doesnt matter the religion you profess, if you see a person being hated for his beliefs that is defenetely wrong."
Ugz6oRurYU3aJbtMX7p4AaABAg,noncounter,jews,Default,fuck kikes
UgzM2BXt9e0I1DrRsjZ4AaABAg,noncounter,black,Default,Fucking Jamaicans don't talk like that
UgxbECEShYEBsgElHox4AaABAg,noncounter,jews,Default,If we beliefe that the Old Testament was given by Allah he says there that his Connection with Ben Israel is forever  nö Other Nation  will replace them  they are called the children Off Allah  a Child will allways be Child if Listen Or Not Listen
UggkxbSBdrRdjXgCoAEC,noncounter,lgbt,Default,Proverbs 17:11 says> An evil man seeks only rebellion; therefore a stern and pitiless messenger shall be against him.
UgivlfxRPzStGngCoAEC,counterspeech,jews,"Affiliation, Hostile language","""The Jews did this, the Jews did that"" just stop, okay? Stop blaming a whole religion for something a few people did. If you see a kid walking down the street that just happens to follow a religion that's apparently known for something bad, is it that kid's fault? Noo.. It's not. This goes with every religion. Just stop discriminating! I'm Muslim, and to anyone out there that has been discriminated against by a Muslim, I would like to apologize, please know that we are not the same. Whenever there's a large group of people, at least some of them are trolls and ignorant, just like on the internet.."
UghP2jCe9hUzIHgCoAEC,counterspeech,lgbt,"Positive tone, Warning of offline or online consequences","""Homosexuality is destructive to humanity"" yeah cause telling teenagers to suppress their sexuality would not at all cause a  sharp rise in teen suucide"
UgyzT0BEJJTdy_qtZId4AaABAg,noncounter,lgbt,Default,Pastor speaks sense!
Ugx2wpYMhUzruExZXZ14AaABAg,noncounter,black,Default,why not obey?  this is blacks main problem
UgzK65hrIa6-7HnweX54AaABAg,noncounter,jews,Default,islam does not justify the need  for evidence.. Quran is that evidence.. it is a law.. but it will be a law when you read it.. like you said many people read the Quran without knowing the meaning.. perhaps due to their negligence of the messages have made some resorting to violence.. there are many translations of the Quran in utube.. disbelievers dont want to read the Quran because they do not want to be frightened by the messages it conveys.. millions memorise the Quran.. a miracle..
Ugixiod_fQhUF3gCoAEC,counterspeech,black,9,racists bitches
UgyNcDa2FkF1V4W9xyZ4AaABAg,noncounter,black,Default,I just wish people would fucking get along.
UgwcDUeEcxigAy9WI7F4AaABAg,noncounter,jews,Default,"@mercyshalom Are you are Jew/Christian? Let me clear something up, we as Muslims believe in Jesus. He was the Messiah, we respect him, he was a noble & pious Prophet & Messenger of God! He did perform miracles, it says so in the Qur'an also, but that was with the permission (and will) of God Almighty! Israel were chosen, read the Qur'an, how many times did they break their convenants? Yet God was ready to forgive them! Untill the last Israelite Prophet (Jesus). (More)"
UgwywoSqH4HVay_77lB4AaABAg,counterspeech,black,Denouncing hateful or dangerous speech,Wtf
Ugxrupc04i4G6FRaizJ4AaABAg,counterspeech,black,9,Really cops arrested defender of women? Cops are stupid
Uggdzw2Qy68VQngCoAEC,noncounter,jews,Default,Boo-hoo hoo... white trumpanzees are so picky in who they defend...
UgjB2YrRT6uSwHgCoAEC,counterspeech,jews,Hostile language,"Its sad that america is seen as what that old fat guy thinks. Most people dont understand that they are the minority of people. The majority of people are good,decent and inclusive people."
UggFIOy5VB8cJHgCoAEC,counterspeech,lgbt,9,"""Fags and lesbos""?  ""TURD Suckers""? lol What Christian uses these vile terms?  You are the biggest ""Turd"" on Youtube.    A dozen sad bigots clapping to bigotry and prejudice .lol"
UgyYS2xz9my_75MDlVt4AaABAg,counterspeech,lgbt,Presenting facts,"It's simple to prove Cameron is a liar because (like the majority of so-called Christians) he's too laxy to look closely at the original language texts and actually READ his Bible. Biologists, notably Tim Clutton-Brock of the University of Cambridge - has done a mountain or research and found the behavior prevalent in a percentage of virtually all mammals.  As groups like the g0ys (spelled w. a zer0 ) point out - Brock also explains that: "" that ""true"" homosexuality -- if strictly defined as male anal penetration by males who show no interest in females -- is virtually unknown among wild mammals."".  Leviticus forbids that specific ACT - not same gender affection.  To begin the 1st day of you lifetime paradigm shift: G00GLE G0YS (spelled w. a zer0)."
Ugx0c2bfkh0OA6Fd8F54AaABAg,noncounter,jews,Default,I would not allow any religious flyers in the window of my business. Religion is mental illness.
UghQPO5ztk9M13gCoAEC,noncounter,black,Default,I feel like becoming a cop just to show that there not all bad but am to lazy and a kid
UghpuohwaL3g7ngCoAEC,counterspeech,lgbt,"Denouncing hateful or dangerous speech, 9",What a hateful twat.
UgjDO9dd2gQK73gCoAEC,noncounter,lgbt,Default,Piers Morgan was a dipshit
UgyzLSuwfbTS2qPYTYh4AaABAg,counterspeech,black,9,thats why I dont play hero....its a color judged country -
UggrVtzmIi36FXgCoAEC,counterspeech,lgbt,9,"Pastor Manning, you are a disgraceful human being.  Shame on you!"
UgiTRcv9pZI4Y3gCoAEC,counterspeech,lgbt,"Affiliation, Hostile language","It's sad to hear this from someone I grew with. I admired him and kinda loved him as much as his sister while I grew up that I feel they're like family. But obviously we weren't raised nearly the same. I am a Christian and I believe that God gave us free will for one good reason and that's who we choose to love. Sad, Kirk, very to hear this."
Ugy96DwxiteWdnSDbu14AaABAg,noncounter,jews,Default,"In May 2005 the PA's information minister, Nabil Shaath, who is in charge of PA TV, promised to ""suspend Mudeiris and prevent him from delivering further sermons."" Accords when Mr. Shaath was in power. The PA's denouncement of a particular sermon came not over a fundamental disagreement with Mr. Mudeiris's beliefs, but rather as a prelude to Abu Mazen's upcoming Washington visit."
Ugz7jaZwNns6Z-8dxkF4AaABAg,noncounter,jews,Default,"@recalibration Jews did many things wrong including worshipping a calf, disobeying Moses and rejecting Jesus"
UgibEoxLPZ5pFXgCoAEC,noncounter,jews,Default,"I didn't know Allah chose the Jews I always thought he chose the Arabs, but now it does make sense since most prophets are from Israel."
UgyfXcx8XqnuUGBaSGB4AaABAg,counterspeech,black,Denouncing hateful or dangerous speech,Wtf is this
Ugza200EyQM-nr3qgBl4AaABAg,noncounter,black,Default,Hasan is such a cuck!
UgzgKkb5ZQ0Y6JsjHs94AaABAg,noncounter,jews,Default,@heavenswindsong Your profile is completely blank. I wonder why? (Sarcasm)
UgwV_BPaoD9Dmj8Xg054AaABAg,noncounter,black,Default,Why you putting race in this that was protocol for the police to detain all involved to find out the truth use are f**** race-baiters
