Class,context,text,id
facts,Muslims use acts of violence to punish people.,Islam is a religion of peace. People using it to justify violence do not understand islam or aren't complying with its principles.,0
facts,The votes of British Muslims matter for labourist politicians. They ignore the antisemitism from their side! This is a revolting fact!,"I do not think Muslims constitute the major fraction of our society. Thus, I do not think the labour party is biased towards them.",1
facts,Using violence to punish another person? Sounds like a muslim issue.,"That is what biased news reports would have you believe, but violent incidents are committed by people of all faiths, muslims just get reported on more.",2
support,"Only a few people were punished for yesterday's violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","All the Muslims should have been punished for yesterday, not only a few. Citizens will take action if the government does not do anything.",3
facts,Muslims are the creators of slave trade.,"No, an entire faith did not invent the slave trade.",4
facts,It is strange how now the majority of 'Easter Eggs' are named 'Chocolate Eggs'. Maybe this change happened because of the Muslims in our country? The companies do not respect our culture!,Looks to me like supermarkets just want to sell more products to people regardless of faith.,5
support,Islam is just a bestial cult of brainwashed lunatics who breed like rats.,Muslims are only a bunch of indoctrinated that follow a religion that has many similarities with a sect.,6
facts,"Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble.","There are many religions and it is hard to compare them. However, I guess Islam has not that many traits that would make it the cruelest.",7
facts,"We need to kill Muslims, otherwise, they will make us explode!","Getting rid of 22% of the world's population sounds quite laborious, perhaps we should just punish the small minority of people who actually commit a crime instead.",8
denouncing,"Koran is a book that should be burnt and mosques should be demolished. If we do all these things, all problems in our community will be solved.","How will being angry and violent towards members of your own community, who add so much, solve said communities issues?",9
support,No religion claims to be the 'religion of peace' more than Islam. I wonder why they need to keep repeating this?,"They constantly say that their religion is a 'religion of peace', maybe because in reality it isn't.",10
hypocrisy,"If I cannot go to their countries and build a church, why should they come to our countries and build mosques?",Why should not Muslims be allowed to build Mosques here? I thought this country believed in giving people the freedom to practice religions other than Christianity?,11
facts,Muslims are not inclined in working and for this fact they are unemployed.,If I say it and find one or two online references does that make it true? What if I write: 'The vast majority of Islamophobes are unemployed and refuse to work.' ?,12
unrelated,A recent poll confirm a thrid of Britons believe there is a 'fundamental clash' between Islam and 'British values'.,"Try a home remedy if you have a mild infection. Call your piercer for mild problems. See your doctor if you have fever, chills, or stomach upset.",13
humor,Muslims do not have anything useful that can enrich our culture.,Your afternoon tea.,14
facts,"Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'they want to eliminate us, we must be islamophobic'.","Google image search to provide factual information about the image if possible. Ie when and where it is from and provide context, ie this was a small faction that has been condemned my main stream Islam and happened 15 years ago.",15
facts,Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!,"It is no more totalitarian than any other religion. Only extremists using Islam for their own means enforce totalitarian principles. These aren't reflective of the majority of Muslims, even if the media tricks us into thinking so.",16
facts,"The liberal and political elite is lying about Islam. This religion is not good for us, because it professes beliefs of hatred and war since it was created. Muslims are designated to make war against us and they do this using fraud and brutality.","There are criminals, who are from UK, raping children and murdering people. Maybe it's better we should first focus on these cases and think how we could decrease the number of crimes.",17
question,"We cannot celebrate our festivities, because Muslim can be offended by them.",Show me evidence of this?,18
